order_id,customer_id,product_id,quantity,product_name,category,price,total_price
1001,22,101,4,Laptop,Electronics,55000,220000
1002,4,103,1,Shoes,Fashion,3000,3000
1003,61,108,5,Bag,Fashion,2500,12500
1004,57,102,3,Phone,Electronics,25000,75000
1005,72,109,4,Keyboard,Electronics,1800,7200
1006,19,107,1,Headphones,Electronics,4000,4000
1007,21,102,3,Phone,Electronics,25000,75000
1008,54,105,2,Tablet,Electronics,30000,60000
1009,99,110,2,Mouse,Electronics,900,1800
1010,27,101,1,Laptop,Electronics,55000,55000
1011,41,107,2,Headphones,Electronics,4000,8000
1012,82,107,4,Headphones,Electronics,4000,16000
1013,55,108,1,Bag,Fashion,2500,2500
1014,94,110,4,Mouse,Electronics,900,3600
1015,12,104,2,Watch,Fashion,5000,10000
1016,42,109,2,Keyboard,Electronics,1800,3600
1017,7,109,3,Keyboard,Electronics,1800,5400
1018,71,106,4,T-Shirt,Fashion,1200,4800
1019,8,102,1,Phone,Electronics,25000,25000
1020,28,103,3,Shoes,Fashion,3000,9000
1021,85,105,4,Tablet,Electronics,30000,120000
1022,71,104,2,Watch,Fashion,5000,10000
1023,73,110,3,Mouse,Electronics,900,2700
1024,91,108,1,Bag,Fashion,2500,2500
1025,21,105,4,Tablet,Electronics,30000,120000
1026,6,108,4,Bag,Fashion,2500,10000
1027,62,107,2,Headphones,Electronics,4000,8000
1028,68,106,5,T-Shirt,Fashion,1200,6000
1029,31,104,1,Watch,Fashion,5000,5000
1030,73,104,2,Watch,Fashion,5000,10000
1031,39,110,1,Mouse,Electronics,900,900
1032,93,101,1,Laptop,Electronics,55000,55000
1033,18,101,3,Laptop,Electronics,55000,165000
1034,12,110,3,Mouse,Electronics,900,2700
1035,32,105,4,Tablet,Electronics,30000,120000
1036,71,101,2,Laptop,Electronics,55000,110000
1037,9,106,2,T-Shirt,Fashion,1200,2400
1038,46,105,3,Tablet,Electronics,30000,90000
1039,41,102,4,Phone,Electronics,25000,100000
1040,57,109,2,Keyboard,Electronics,1800,3600
1041,77,107,4,Headphones,Electronics,4000,16000
1042,12,102,4,Phone,Electronics,25000,100000
1043,99,101,2,Laptop,Electronics,55000,110000
1044,6,103,5,Shoes,Fashion,3000,15000
1045,31,109,3,Keyboard,Electronics,1800,5400
1046,82,106,4,T-Shirt,Fashion,1200,4800
1047,91,104,5,Watch,Fashion,5000,25000
1048,4,103,1,Shoes,Fashion,3000,3000
1049,66,110,5,Mouse,Electronics,900,4500
1050,63,110,3,Mouse,Electronics,900,2700
1051,57,107,3,Headphones,Electronics,4000,12000
1052,52,104,5,Watch,Fashion,5000,25000
1053,94,104,5,Watch,Fashion,5000,25000
1054,24,102,4,Phone,Electronics,25000,100000
1055,44,109,4,Keyboard,Electronics,1800,7200
1056,46,109,1,Keyboard,Electronics,1800,1800
1057,55,110,3,Mouse,Electronics,900,2700
1058,81,102,5,Phone,Electronics,25000,125000
1059,44,102,2,Phone,Electronics,25000,50000
1060,90,102,4,Phone,Electronics,25000,100000
1061,4,107,3,Headphones,Electronics,4000,12000
1062,43,108,2,Bag,Fashion,2500,5000
1063,21,108,2,Bag,Fashion,2500,5000
1064,46,102,2,Phone,Electronics,25000,50000
1065,98,109,4,Keyboard,Electronics,1800,7200
1066,17,105,4,Tablet,Electronics,30000,120000
1067,26,109,4,Keyboard,Electronics,1800,7200
1068,14,101,4,Laptop,Electronics,55000,220000
1069,30,102,1,Phone,Electronics,25000,25000
1070,1,103,5,Shoes,Fashion,3000,15000
1071,12,109,3,Keyboard,Electronics,1800,5400
1072,53,101,4,Laptop,Electronics,55000,220000
1073,48,103,5,Shoes,Fashion,3000,15000
1074,90,105,5,Tablet,Electronics,30000,150000
1075,16,103,1,Shoes,Fashion,3000,3000
1076,39,101,2,Laptop,Electronics,55000,110000
1077,82,109,1,Keyboard,Electronics,1800,1800
1078,16,108,3,Bag,Fashion,2500,7500
1079,51,102,5,Phone,Electronics,25000,125000
1080,40,109,4,Keyboard,Electronics,1800,7200
1081,48,110,5,Mouse,Electronics,900,4500
1082,56,109,5,Keyboard,Electronics,1800,9000
1083,7,102,1,Phone,Electronics,25000,25000
1084,68,101,4,Laptop,Electronics,55000,220000
1085,35,107,1,Headphones,Electronics,4000,4000
1086,84,102,3,Phone,Electronics,25000,75000
1087,64,110,1,Mouse,Electronics,900,900
1088,98,106,4,T-Shirt,Fashion,1200,4800
1089,16,107,5,Headphones,Electronics,4000,20000
1090,26,103,3,Shoes,Fashion,3000,9000
1091,83,109,2,Keyboard,Electronics,1800,3600
1092,5,101,3,Laptop,Electronics,55000,165000
1093,94,110,3,Mouse,Electronics,900,2700
1094,63,103,2,Shoes,Fashion,3000,6000
1095,70,101,2,Laptop,Electronics,55000,110000
1096,78,104,4,Watch,Fashion,5000,20000
1097,31,106,5,T-Shirt,Fashion,1200,6000
1098,22,101,3,Laptop,Electronics,55000,165000
1099,30,107,1,Headphones,Electronics,4000,4000
1100,12,107,1,Headphones,Electronics,4000,4000
